country,fluregion
Afghanistan,Southern Asia
Albania,South West Europe
Algeria,Northern Africa
Angola,Middle Africa
Anguilla,Central America and Caribbean
Antigua and Barbuda,Central America and Caribbean
Argentina,Temperate South America
Armenia,Western Asia
Aruba,Central America and Caribbean
Australia,Oceania Melanesia Polynesia
Austria,South West Europe
Azerbaijan,Western Asia
Bahamas,Central America and Caribbean
Bahrain,Western Asia
Bangladesh,Southern Asia
Barbados,Central America and Caribbean
Belarus,Eastern Europe
Belgium,South West Europe
Belize,Central America and Caribbean
Bermuda,North America
Bhutan,Southern Asia
Bolivia (Plurinational State of),Tropical South America
Bosnia and Herzegovina,South West Europe
Brazil,Tropical South America
British Virgin Islands,Central America and Caribbean
Bulgaria,Eastern Europe
Burkina Faso,Western Africa
Cabo Verde,Western Africa
Cambodia,South-East Asia
Cameroon,Middle Africa
Canada,North America
Cayman Islands,Central America and Caribbean
Central African Republic,Middle Africa
Chad,Middle Africa
Chile,Temperate South America
China,Eastern Asia
Colombia,Tropical South America
Congo,Middle Africa
Costa Rica,Central America and Caribbean
Croatia,South West Europe
Cuba,Central America and Caribbean
Cyprus,Western Asia
Czechia,Eastern Europe
Côte d'Ivoire,Western Africa
Democratic People's Republic of Korea,Eastern Asia
Democratic Republic of the Congo,Middle Africa
Denmark,Northern Europe
Dominica,Central America and Caribbean
Dominican Republic,Central America and Caribbean
Ecuador,Tropical South America
Egypt,Northern Africa
El Salvador,Central America and Caribbean
Estonia,Northern Europe
Ethiopia,Eastern Africa
Fiji,Oceania Melanesia Polynesia
Finland,Northern Europe
France,South West Europe
French Guiana,Tropical South America
Gambia,Western Africa
Georgia,Western Asia
Germany,South West Europe
Ghana,Western Africa
Greece,South West Europe
Grenada,Central America and Caribbean
Guadeloupe,Central America and Caribbean
Guatemala,Central America and Caribbean
Guinea,Western Africa
Guinea-Bissau,Western Africa
Guyana,Tropical South America
Haiti,Central America and Caribbean
Honduras,Central America and Caribbean
Hungary,Eastern Europe
Iceland,Northern Europe
India,Southern Asia
Indonesia,South-East Asia
Iran (Islamic Republic of),Southern Asia
Iraq,Western Asia
Ireland,Northern Europe
Israel,Western Asia
Italy,South West Europe
Jamaica,Central America and Caribbean
Japan,Eastern Asia
Jordan,Western Asia
Kazakhstan,Central Asia
Kenya,Eastern Africa
Kosovo (in accordance with Security Council resolution 1244 (1999)),Eastern Europe
Kuwait,Western Asia
Kyrgyzstan,Central Asia
Lao People's Democratic Republic,South-East Asia
Latvia,Northern Europe
Lebanon,Western Asia
Lithuania,Northern Europe
Luxembourg,South West Europe
Madagascar,Eastern Africa
Malaysia,South-East Asia
Maldives,Southern Asia
Mali,Western Africa
Malta,South West Europe
Martinique,Central America and Caribbean
Mauritania,Western Africa
Mauritius,Eastern Africa
Mexico,Central America and Caribbean
Mongolia,Eastern Asia
Montenegro,South West Europe
Morocco,Northern Africa
Mozambique,Eastern Africa
Myanmar,South-East Asia
Namibia,Southern Africa
Nepal,Southern Asia
Netherlands,South West Europe
New Caledonia,Oceania Melanesia Polynesia
New Zealand,Oceania Melanesia Polynesia
Nicaragua,Central America and Caribbean
Niger,Western Africa
Nigeria,Western Africa
North Macedonia,South West Europe
Norway,Northern Europe
Oman,Western Asia
Pakistan,Southern Asia
Panama,Central America and Caribbean
Papua New Guinea,Oceania Melanesia Polynesia
Paraguay,Temperate South America
Peru,Tropical South America
Philippines,South-East Asia
Poland,Eastern Europe
Portugal,South West Europe
Qatar,Western Asia
Republic of Korea,Eastern Asia
Republic of Moldova,Eastern Europe
Romania,Eastern Europe
Russian Federation,Eastern Europe
Rwanda,Eastern Africa
Saint Kitts and Nevis,Central America and Caribbean
Saint Lucia,Central America and Caribbean
Saint Vincent and the Grenadines,Central America and Caribbean
Saudi Arabia,Western Asia
Senegal,Western Africa
Serbia,South West Europe
Seychelles,Eastern Africa
Sierra Leone,Western Africa
Singapore,South-East Asia
Slovakia,Eastern Europe
Slovenia,South West Europe
South Africa,Southern Africa
South Sudan,Middle Africa
Spain,South West Europe
Sri Lanka,Southern Asia
Sudan,Northern Africa
Suriname,Tropical South America
Sweden,Northern Europe
Switzerland,South West Europe
Syrian Arab Republic,Western Asia
Tajikistan,Central Asia
Thailand,South-East Asia
Timor-Leste,South-East Asia
Togo,Western Africa
Trinidad and Tobago,Central America and Caribbean
Tunisia,Northern Africa
Turkey,Western Asia
Turkmenistan,Central Asia
Turks and Caicos Is.,Central America and Caribbean
Uganda,Eastern Africa
Ukraine,Eastern Europe
United Arab Emirates,Western Asia
United Kingdom of Great Britain and Northern Ireland,Northern Europe
United Republic of Tanzania,Eastern Africa
United States of America,North America
Uruguay,Temperate South America
Uzbekistan,Central Asia
Venezuela (Bolivarian Republic of),Tropical South America
Viet Nam,South-East Asia
West Bank and Gaza Strip,Western Asia
Yemen,Western Asia
Zambia,Eastern Africa
Zimbabwe,Eastern Africa
