country,period,log_rel_flu_level,cov_daily_cases,workplace_presence_reduction,idvi,age,T,RH,latitude,longitude,nb_days_school_closure,nb_days_workplace_closure,nb_days_public_event_restrictions,nb_days_gathering_restrictions,nb_days_public_transport_restrictions,nb_days_stay_at_home_requirements,nb_days_facial_covering_requirements,nb_days_elderly_shielding,nb_days_international_travel_restrictions,nb_days_testing_implementation,nb_days_contact_tracing_implementation
Afghanistan,autumn2020,-0.0795725775188083,2.8000000000000003,-1.5,0.157034,18.6,295.0458391123352,39.15726425592676,34.460593014274984,67.96413168952716,19.0,35.0,0.0,0.0,0.0,0.0,64.0,1.0,0.0,91.0,0.0
Afghanistan,spring2020,-0.533574872235691,6.85020879120879,40.25,0.157034,18.6,298.937331141126,48.87838587598751,34.460593014274984,67.96413168952716,91.0,83.0,89.0,71.0,0.0,0.0,8.0,82.0,85.0,0.0,0.0
Afghanistan,spring2021,0.0094843575334395,9.345,-6.0,0.157034,18.6,300.12343670616445,40.71624761584483,34.460593014274984,67.96413168952716,16.0,91.0,91.0,0.0,0.0,0.0,41.0,0.0,0.0,77.0,0.0
Afghanistan,winter2021,-0.1025339232831452,1.9401868131868132,-0.5,0.157034,18.6,289.62322191956486,45.49680566103957,34.460593014274984,67.96413168952716,0.0,5.0,5.0,0.0,0.0,0.0,78.0,0.0,0.0,91.0,0.0
Argentina,autumn2020,-1.431372561150323,227.130989010989,9.755148741418765,0.707041,31.9,292.64236419604475,57.623592555724734,-33.201377746232204,-60.40135074847552,91.0,26.0,91.0,26.0,0.0,0.0,91.0,85.0,91.0,0.0,91.0
Argentina,spring2020,-0.1874242182871323,7.597857142857142,32.72112676056338,0.707041,31.9,290.8087157764052,67.6255809730472,-33.201377746232204,-60.40135074847552,91.0,54.0,87.0,88.0,84.0,78.0,62.0,91.0,91.0,0.0,91.0
Argentina,spring2021,-1.5895534346405964,464.6765384615385,-1.1382488479262671,0.707041,31.9,290.7397001422464,69.72895645786352,-33.201377746232204,-60.40135074847552,63.0,0.0,91.0,48.0,18.0,0.0,91.0,0.0,91.0,0.0,91.0
Argentina,summer2020,-1.4001104284592054,126.25148351648352,12.67816091954023,0.707041,31.9,286.21832874306153,63.61437844347356,-33.201377746232204,-60.40135074847552,91.0,75.0,91.0,91.0,53.0,0.0,91.0,91.0,91.0,0.0,91.0
Argentina,summer2021,-2.8764448550797708,265.1348571428572,-5.06221198156682,0.707041,31.9,286.2660560713791,64.92730467095623,-33.201377746232204,-60.40135074847552,0.0,0.0,45.0,91.0,0.0,0.0,91.0,0.0,91.0,0.0,91.0
Australia,autumn2020,-3.5830086951079454,0.5731538461538461,5.585774058577406,0.912517,37.9,291.0090806952531,67.62699529470679,-33.61287798943694,144.9963756122215,14.0,14.0,0.0,0.0,0.0,36.0,0.0,0.0,91.0,52.0,91.0
