"minbucket","cp","mean_err","sd_err","nsplits"
4,0,0.676274329296385,0.1102153976655,33
4,0.001,0.678133514283406,0.109683643618503,32
4,0.002,0.675650685346617,0.10839657840519,30
4,0.003,0.668813354602367,0.106254498106479,27
4,0.004,0.663735251643821,0.105449037366483,24
4,0.005,0.656700487631854,0.110148583653552,22
4,0.006,0.646904314706723,0.10634940110635,20
4,0.007,0.646599349068275,0.105800538332048,18
4,0.008,0.639297856834689,0.106435162367037,16
4,0.009,0.63680382017868,0.102163496608734,15
4,0.01,0.629885045132657,0.100373737333917,14
4,0.011,0.623808237268148,0.100532322669886,13
4,0.012,0.621471506413093,0.0971052458311585,12
4,0.013,0.618937390442486,0.0959610441459108,11
4,0.014,0.614844647404885,0.0967420127835475,10
5,0,0.653868175729494,0.102164726633524,26
5,0.001,0.654873204211553,0.102713959433557,26
5,0.002,0.652491642393439,0.104188864662966,24
5,0.003,0.652079682390225,0.105158090743454,23
5,0.004,0.644798137657245,0.104436431943486,21
5,0.005,0.639192016425793,0.102639154335139,19
5,0.006,0.637368566663378,0.103164316410111,17
5,0.007,0.632382444458152,0.101273322393499,16
5,0.008,0.629366850627858,0.101116345902943,15
5,0.009,0.622868050640518,0.100714201886427,14
5,0.01,0.622163895105888,0.0985032204003365,13
5,0.011,0.618310207627676,0.0964173689641626,12
5,0.012,0.614665522318957,0.0975831929793154,11
5,0.013,0.615360410736466,0.0958672087391975,10
5,0.014,0.611102427034511,0.0937351510617607,9
6,0,0.638058731908269,0.101824917716034,21
6,0.001,0.642419861697447,0.103835618967948,21
6,0.002,0.64194463361511,0.104171627183378,21
6,0.003,0.637418730526073,0.102082751425337,19
6,0.004,0.631757403725395,0.101453893993394,18
6,0.005,0.630523781675735,0.102285680822387,17
6,0.006,0.625121624143052,0.0983723822229717,16
6,0.007,0.621288345927732,0.0980431095815681,14
6,0.008,0.622303295394788,0.100123383798151,13
6,0.009,0.615787714026755,0.098150445788482,12
6,0.01,0.613270951496259,0.0976943257441298,12
6,0.011,0.614587909021253,0.0987765958162752,11
6,0.012,0.61020435693694,0.0954158184685758,10
6,0.013,0.609617611867726,0.0961006835366632,9
6,0.014,0.611058931596063,0.0956481864338841,9
7,0,0.62451126724084,0.0990488487675051,18
7,0.001,0.625226463167222,0.098870883219253,18
7,0.002,0.62434643167661,0.0974812421862516,17
7,0.003,0.626179734032363,0.100674662926182,17
7,0.004,0.623130290266284,0.0980229999590568,16
7,0.005,0.617403037632017,0.0984471147255969,15
7,0.006,0.611963824334412,0.0978259429367875,14
7,0.007,0.611521576709517,0.0995652429734432,13
7,0.008,0.608622376095409,0.0976852307335429,12
7,0.009,0.608570391981599,0.0963821670790154,11
7,0.01,0.605042786308508,0.0956762495052935,11
7,0.011,0.606815858724458,0.095576604490519,10
7,0.012,0.607806309417986,0.0957636446675589,9
7,0.013,0.604615978521208,0.097174034658995,9
7,0.014,0.604721804118478,0.0970569397119017,8
8,0,0.616905800543219,0.0973894376390797,15
8,0.001,0.614745696744956,0.0955082290614058,15
8,0.002,0.615004321225676,0.0970018923671439,15
8,0.003,0.613164666443194,0.0954684187470233,15
8,0.004,0.613229101118066,0.0968063165304346,14
